,RNA.CST,RNA.HYP,RNA.RN,RNA.DP,RNA.MED,RNA.Other
Olfr1509,0,0,0,0,0,0
Gm30214,0.00398830560233408,0,0,0,0.000299833818691894,0
Trav4-4-dv10,0.000599653419125258,0,0,0,0.000465636156271847,0
Gm43647,0.0182829508785466,0.00482009820971227,0.000806496633816169,0.00292675362734441,0.00743477350750354,0.0157518139104004
Trav22,0.00285611168193602,0,0,0,0.000663942877548018,0.00297695952406753
Gm30275,0.0371411910858632,0.00799604791471318,0.00644573639156567,0.0190252354026661,0.0107894422194762,0.0415323985545469
Gm43434,0.0227896450008371,0.00963693028687489,0.00512273017615918,0.00929041186470305,0.00966291920613547,0.0205870032202977
Traj49,0.0016487986745152,0,0,0,0.000152963142337741,0
Traj27,0.0142102600464479,0.00395264114709368,0.00198223681716494,0.00682984496761871,0.00773195947378962,0.00978577272613184
Traj25,0.000175106417056387,0,0.000736225659643467,0,0,0.0036734400002351
Traj12,0.00338614623145405,0.00068383727353532,0.00204032094869887,0.0013401113931066,0.00195947646581309,0.00724718371738846
Dad1,0.18098372007592,0.341351130076756,0.215990541175474,0.29334427782105,0.277504638604615,0.276758523534394
Abhd4,0.0750586581369436,0.122597808697375,0.155486148201982,0.156358017195145,0.161939345921298,0.139544551267944
Gm43305,0.033479649361171,0.0436653944156029,0.032438450058615,0.0446618196290059,0.026897661264552,0.0264625590355718
Oxa1l,0.254888137006047,0.467893085594842,0.525470777668865,0.588786304871107,0.525445615041268,0.387341159644135
Slc7a7,0.00608101141579931,0.0194833372390755,0.00715347277201498,0.00458281197873941,0.00878150195821615,0.0379790418625769
Mrpl52,0.0935831911636671,0.285007797784635,0.184202229604088,0.274892436848435,0.295591419961694,0.294377651202901
Mmp14,0.00800159256782513,0.00782048251781325,0.00946785632570715,0.0138363009676352,0.0150271431569832,0.0335447423069547
Lrp10,0.0153598573899258,0.0578913154337612,0.0397315899273891,0.0200743889056729,0.0205341191462295,0.0325426067190497
Rem2,0.0151572445952121,0.0239861045580392,0.00136986113717652,0.00309661862666498,0.0041453001450359,0.00532505549984588
Prmt5,0.116568813784646,0.130169066160205,0.100101415746357,0.100527179782667,0.0964277579943353,0.0939865069468318
Haus4,0.0291079993875349,0.0348735266690868,0.0773322420932626,0.0907525636613016,0.115198027429259,0.0778419405517041
Ajuba,0.0011347188530925,0.00993331760225555,0.00198279115304834,0.00295702132368049,0.00244603189043711,0.00273226731191892
4931414P19Rik,0.143121049955717,0.0699894205401295,0.0557601531824571,0.115250261242488,0.102029470882364,0.124938469870049
Psmb5,0.086591450461729,0.14267565955646,0.109374228918596,0.163667310327025,0.135399631305399,0.155760212125212
Psmb11,0.00424136076537138,0.00213770811002981,0.00251554674942768,0.00234112906250747,0.00306646923917606,0.00281404202184543
Cdh24,0.16408367012053,0.0244606055810139,0.0268903901551298,0.111163964914713,0.0862801473447872,0.0550654645043835
Gm17606,0.0180967761659651,0.0278244954564132,0.0230772767944411,0.0186440531266376,0.0282045812241357,0.0149439226841797
Acin1,1.20373716766059,1.72551003561558,1.42896760590216,1.61521637100052,1.55554592710168,1.50359414587455
4930579G18Rik,0.112596965152247,0.111325042949915,0.123566926861616,0.128208245177171,0.139120998501691,0.137488636567324
1700123O20Rik,0.030926705960015,0.0841204540837722,0.0487248205419188,0.0447557380037913,0.0568432125727861,0.0474011057995722
Gm29776,0.000547516134239842,0.000813954302326395,0,0,0.00280211150819323,0.00367215580516423
Slc7a8,0.621037863868787,0.324065121547664,0.337477325086311,0.211743976797013,0.242461940998935,0.325627759624269
Rnf212b,0.0100721596817038,0.00148309464902417,0.00656854357948919,0.00380389276202748,0.00738480724927193,0.00452442486498021
Homez,0.0455916793469782,0.0673428684116438,0.0639292200760441,0.0403033140696803,0.0637858924062407,0.0438040389778741
Ppp1r3e,0.0298599230434477,0.0602006029375122,0.0509861978082332,0.0552756151757076,0.0604322593405895,0.064014071499149
Bcl2l2,0.0390233067168329,0.0780797152751236,0.0501546731073502,0.0760312545683952,0.0804606829294884,0.116553042118393
Pabpn1,0.947742296085792,2.51371372110382,1.41279140363224,2.20662862487966,2.02256864329377,2.18552756235187
Slc22a17,0.760345835787569,1.34245688859902,0.931398377670681,1.280877556347,1.29924788190616,1.27125310874154
Efs,0.000289987010311748,0.0136692748856912,0.000335190849289814,0.00316028121665625,0.00652645778485633,0.0117163171896585
Cmtm5,0.00135876191462394,0,0.000877365151496578,0.00441977788723541,0.00292130667387424,0.0149564318585924
Myh6,0.00876170551050291,0.0195057834470019,0.0388274120770842,0.0193914740519589,0.0272932239945654,0.0148400924568491
Mhrt,0.00157188556829281,0.0133218259955681,0.000583745774045437,0,0.000960134879793441,0.0133233498910944
Myh7,0.00282820165144372,0.011888220438352,0.00228123983560616,0.00169516931623575,0.00388571673571419,0.0166408024213011
Ngdn,0.117698113054591,0.183925447885883,0.21905079696423,0.144238443917389,0.164449853127174,0.165263244660125
Zfhx2os,0.0127427341257416,0.0554684132945844,0.0128476594066152,0.0130347529917153,0.0251060621177826,0.0230415254378248
Zfhx2,0.36929042183889,0.36857708532883,0.305322042015602,0.203166845492339,0.236909829974706,0.218161563509028
Thtpa,0.0104246291700172,0.0166809475213507,0.0179977767978626,0.0274106591505751,0.0229862090601027,0.0187669508477986
Ap1g2,0.0136426948098474,0.0233909002608285,0.0181162185949191,0.0252152463223805,0.0301417293107635,0.0504568490482855
Jph4,0.322444049087717,0.583432883892018,0.30648140469036,0.470891369732252,0.402388642483456,0.410110513040745
Dhrs2,0.00136556938315786,0.00304184971935075,0.000690653571690773,0,0.000959364087499112,0
Dhrs4,0.0159728736241134,0.00470905711447053,0.0122249711187028,0.00386189703934526,0.0113148897517895,0.0197079430541474
Carmil3,0.241266365504895,0.605224536988483,0.520143687645524,0.449061571883801,0.458854782412253,0.421839666434344
Cpne6,0.188425123677084,0.240353033562421,0.208229761719654,0.260475102900703,0.33153364297134,0.342222845407819
