812,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cSCI
Gal3st3,1.45E-10,-1.645467075,0.047,0.127,3.14E-06,0.595004752
Prtn3,0.000132189,-1.64428441,0.021,0.053,1,0.943443316
Arhgap20os,3.01E-09,-1.643596398,0.076,0.154,6.54E-05,-0.818936019
Npff,7.41E-11,-1.642263929,0.078,0.168,1.61E-06,0
Olfr55,1.34E-14,-1.63836152,0.103,0.22,2.90E-10,-0.589994935
Slc5a12,2.81E-06,-1.638073765,0.035,0.083,0.061049714,-1.33242953
4930445B16Rik,2.32E-16,-1.637025637,0.135,0.266,5.03E-12,-1.26464275
9830166K06Rik,0.001089194,-1.63699815,0.023,0.05,1,-0.351234129
9630015K15Rik,3.43E-09,-1.636723367,0.045,0.115,7.44E-05,0
Tomm20l,1.44E-10,-1.636066586,0.064,0.149,3.13E-06,0.585517115
Eid2b,1.74E-07,-1.630330213,0.047,0.107,0.003787841,0.480403213
2900079G21Rik,0.000134307,-1.624468063,0.044,0.083,1,-0.598485448
Zfp213,0.000506729,-1.62335708,0.028,0.059,1,0
Zfp867,1.05E-07,-1.618206947,0.058,0.123,0.002274204,0
E130114P18Rik,8.32E-11,-1.61779868,0.059,0.144,1.81E-06,0
Irs1,3.34E-32,-1.615839006,0.165,0.38,7.26E-28,-1.081595089
Gsdme,2.21E-148,-1.614990719,0.708,0.938,4.79E-144,0
Akap14,8.41E-06,-1.614605612,0.035,0.08,0.182536264,0
Stap1,7.25E-05,-1.612858303,0.045,0.086,1,0.353975072
1600014C10Rik,9.66E-06,-1.611979,0.059,0.11,0.209587785,0
Resp18,4.21E-07,-1.608049823,0.06,0.122,0.009143835,-1.320977602
Slc16a4,9.14E-27,-1.604649954,0.159,0.347,1.98E-22,0
Hunk,4.06E-08,-1.601373832,0.025,0.079,0.00088129,-1.435277619
Slitrk1,1.91E-24,-1.601150023,0.162,0.337,4.14E-20,-0.41079347
Zfp719,4.12E-08,-1.598623708,0.068,0.139,0.000894904,0
Usp46os1,6.18E-06,-1.588755308,0.051,0.103,0.134211858,-0.574523939
D530033B14Rik,3.21E-11,-1.58859437,0.059,0.147,6.97E-07,0
4930565N06Rik,3.77E-13,-1.58841422,0.111,0.219,8.18E-09,-0.326861841
Bcs1l,7.68E-25,-1.587303991,0.184,0.368,1.67E-20,0
C630031E19Rik,3.36E-16,-1.585347356,0.106,0.235,7.29E-12,0
1700126G02Rik,4.01E-17,-1.580013157,0.122,0.256,8.70E-13,0
Hrh3,3.01E-16,-1.577829689,0.106,0.236,6.53E-12,-0.430900387
Kcng1,1.22E-31,-1.577384238,0.134,0.339,2.64E-27,0
Hcn2,1.17E-43,-1.574148991,0.284,0.526,2.54E-39,0
Lrtm1,8.93E-132,-1.573906046,0.64,0.903,1.94E-127,-0.377230716
D830024N08Rik,1.52E-92,-1.572323273,0.463,0.772,3.29E-88,0
1700007F19Rik,2.89E-05,-1.571831991,0.038,0.081,0.626503337,-0.800588157
Ptchd4,5.39E-48,-1.570781697,0.27,0.54,1.17E-43,-0.90686591
Slc16a2,3.94E-51,-1.569766407,0.343,0.593,8.55E-47,0
Fam184b,1.07E-22,-1.569747187,0.112,0.278,2.33E-18,-0.434314958
H2-T24,5.12E-08,-1.569704034,0.037,0.097,0.001111972,0
4930590L20Rik,3.67E-46,-1.569025816,0.309,0.552,7.96E-42,0
Zfp46,1.04E-12,-1.562795657,0.068,0.168,2.25E-08,0
Mrpl42,1.57E-11,-1.561696266,0.109,0.209,3.40E-07,0
Nanos1,0.000298372,-1.559781932,0.027,0.059,1,0
Hmgb4,2.67E-07,-1.557809549,0.042,0.1,0.005785385,-0.548354434
Lin7b,1.54E-10,-1.557348846,0.093,0.184,3.34E-06,-0.563923024
Apobec4,7.12E-26,-1.556564377,0.172,0.36,1.55E-21,0
Cxxc4,1.49E-57,-1.555319833,0.35,0.619,3.24E-53,0
Cep19,1.31E-28,-1.555319176,0.204,0.397,2.85E-24,0
Nt5c,3.08E-08,-1.555001551,0.048,0.114,0.000668653,0
Socs2,5.62E-20,-1.553721093,0.177,0.327,1.22E-15,-1.883862002
Rcor2,9.72E-07,-1.552082739,0.048,0.104,0.021109418,0
Klhl23,5.08E-17,-1.551638483,0.117,0.25,1.10E-12,0
4921504A21Rik,5.56E-25,-1.549823903,0.179,0.358,1.21E-20,0
Gask1b,1.81E-06,-1.548938744,0.047,0.1,0.039273317,-1.324067198
Tmem126b,3.43E-07,-1.541318052,0.067,0.13,0.007437373,0.511672632
Zfp39,6.23E-05,-1.538304026,0.03,0.068,1,1.0877078
Acp1,1.76E-123,-1.53787903,0.616,0.89,3.82E-119,0.416542274
Sh3bgrl2,7.82E-41,-1.536843615,0.289,0.525,1.70E-36,-0.940583683
Dclk3,0.000200306,-1.533774664,0.029,0.063,1,-0.591081292
Nadsyn1,1.59E-08,-1.532162023,0.065,0.137,0.000346041,0
