,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6,RNA.7
Abcc3,0.051793071,0.034411571,0.058329034,0.026590086,0.007903086,0.046099519,0.053326628,0.026298836
Cacna1g,0.380000993,0.212081295,0.153505245,0.078352191,0.072284905,0.259519407,0.275760696,0.133311052
Epn3,0.001319925,0.004560329,0.000366552,0.004510658,0.00094989,0,0,0
Mycbpap,0.039257085,0.039673199,0.082281876,0.018827966,0.021200737,0.048050091,0.099880031,0.012895337
Rsad1,0.079126677,0.037261177,0.029595381,0.046185173,0.027989629,0.103204764,0.079680396,0.034666586
Acsf2,0.008411473,0.004742831,0.007403227,0.007381886,0,0.029862736,0.036729579,0.011204324
Lrrc59,0.121914357,0.118243564,0.191704517,0.192211888,0.129577526,0.159744515,0.216125852,0.142706344
Eme1,0.004443978,0.00847068,0.015168674,0.005775171,0.010215013,0.00185577,0.128750534,0.025325421
Mrpl27,0.124757184,0.11618527,0.092719439,0.085306531,0.110250633,0.095206427,0.130039128,0.077895453
Xylt2,0.087006828,0.074604192,0.090281842,0.035279724,0.055298636,0.114547238,0.125703558,0.073700127
Gm11542,0.03613116,0.020400186,0.012653026,0.022913709,0.009816427,0.070379524,0.051509169,0.010911004
Gm11541,0.004380975,0.002230956,0.004109871,0.000734058,0.003246725,0.009305955,0,0.001886461
Col1a1,0.006223977,0.001969055,0.024010635,0.006027185,0.004022901,0.003358184,0.006569274,0
Sgca,0,0,0,0.001033089,0.000432301,0.003828351,0,0
Ppp1r9b,0.226940454,0.207898759,0.315648791,0.176665742,0.20985496,0.280734747,0.213924754,0.262621528
Samd14,0.061245182,0.074897695,0.114664467,0.081542967,0.138609816,0.066021787,0.043229833,0.124335903
Pdk2,0.140394931,0.066010703,0.070343397,0.046253639,0.045464186,0.129583623,0.098897049,0.051570892
Gm11513,0.002551376,0.000872027,0.001461411,0,0,0,0,0
Itga3,0.117246555,0.146091373,0.165806092,0.161963534,0.13529317,0.086141693,0.136815878,0.111312574
Tac4,0.005336359,0.001988458,0.001064742,0.011316236,0.003219384,0.001166157,0.002294338,0
Kat7,0.387017542,0.429711019,0.438463973,0.505885014,0.45436378,0.481532946,0.378059266,0.421320762
Gm11520,0.079238607,0.090337723,0.066254406,0.123785036,0.085593927,0.092799544,0.187738335,0.057063069
Gm11521,0.000349195,0.001009341,0.003348572,0.000448606,0.000580302,0.002207311,0.006549094,0
Fam117a,0.075414076,0.061026883,0.02203691,0.02467278,0.028010986,0.088251459,0.138498065,0.044457284
Gm29477,0.00027021,0.002671939,0,0.000756475,0.001830118,0.012479331,0,0
Slc35b1,0.1945443,0.167619062,0.186522226,0.117829077,0.13134605,0.121448446,0.200954624,0.203675294
Spop,1.600659631,1.637198877,2.099135757,1.538540823,2.89079145,1.472280722,1.318282969,2.462174307
Nxph3,0.000238007,0.001546891,0.003143293,0,0.010544125,0.003592761,0,0.007328761
Phb,0.163967297,0.170527135,0.148420202,0.093744862,0.12107041,0.193905279,0.270703627,0.154503021
Gm9796,0.005023252,0.000560287,0.000665575,0.000725581,0.000556056,0.004585346,0.005259725,0.002335895
Zfp652os,0.053387069,0.021754822,0.017745889,0.022111928,0.008262952,0.041641805,0.310705777,0.018776203
Zfp652,0.867373992,0.783722444,0.692145233,0.514571295,0.626428214,0.882517119,0.71643962,0.757932512
Abi3,0.00202277,0.000939232,0,0,0,0.001161794,0.004572401,0.003078177
Gngt2,0.000741859,0,0,0.005432306,0,0,0.013245016,0
4833417C18Rik,0.000377355,0,0.002697298,0.000533398,0.001604395,0,0,0
B4galnt2,0.027840371,0.041826701,0.046134233,0.058401495,0.014731758,0.022158765,0.101504595,0.040901397
Igf2bp1,0,0,0,0,0,0,0,0
Gip,0,0.001404237,0,0.000807665,0.004755315,0,0,0
Snf8,0.356130144,0.512811344,0.471181812,0.352596782,0.440750704,0.368357005,0.562233128,0.367881072
Ube2z,0.14550589,0.169161323,0.209241525,0.191669192,0.147730653,0.167197615,0.571146563,0.266159598
Atp5g1,0.152176893,0.161908138,0.159292045,0.095378255,0.099990553,0.130619128,0.242132872,0.086816083
Calcoco2,0,0.000949524,0,0,0.000445788,0,0.008155567,0
Ttll6,0.002195629,0.003304444,0.004815541,0.00042971,0.002587466,0.000930211,0.050115111,0
Hoxb9,0,0,0,0.003082648,0,0,0,0
Gm11529,0.004135391,0.010823461,0.003611229,0.001794367,0.001109003,0.001666993,0.004323216,0
Skap1,0.377177628,0.252386175,0.30203591,0.196895048,0.112294303,0.227374658,1.234052601,0.167792461
Gm11537,0,0,0,0.000958858,0.000635265,0,0,0
Snx11,0.10417736,0.125669547,0.104368318,0.174614571,0.143597564,0.076932091,0.125676271,0.183088251
Cbx1,0.397835637,0.441649375,0.507310586,0.452148619,0.438633471,0.386583134,0.391797464,0.302343951
Nfe2l1,0.154815219,0.217134074,0.174993881,0.260303302,0.191224509,0.13217447,0.151642034,0.144224404
Copz2,0.002986385,0.005685622,0.008840436,0.004450181,0.002797992,0.012583916,0.018971833,0
Gm11523,0.000767594,0.00039519,0.001877928,0.001642971,0,0,0,0
Cdk5rap3,0.082037279,0.064990135,0.0507226,0.043051195,0.089175566,0.07411018,0.093740902,0.06642182
D030028A08Rik,0.093934561,0.120260041,0.103981431,0.080705245,0.094987139,0.049191661,0.173383562,0.093259375
Gm11525,0.004129094,0.003763223,0.001447965,0.001908311,0.001146097,0.013886479,0.002496309,0.005861885
Prr15l,0,0.002995435,0,0,0.000812603,0,0.00143302,0
