,RNA.IC_1d,RNA.IC_3d,RNA.IC_7d,RNA.Uninjured,Minimum,,14856
1700101O22Rik,0.001207636,0.000567672,0.003336893,0.007438649,0.000567672,,
1700102H20Rik,0.003318428,0.003269678,0.008135373,0.006745771,0.003269678,,
1700102P08Rik,0.016084951,0.024278233,0.021386496,0.02258611,0.016084951,,
1700104B16Rik,0,0,0,0.001084791,0,,
1700104L18Rik,0.001447284,0,0,0.000281981,0,,
1700105P06Rik,0.022873636,0.016455281,0.021526429,0.025398791,0.016455281,,
1700108F19Rik,0.003401128,0,0.002817536,0.003314846,0,,
1700108J01Rik,0.024143185,0.044828679,0.131397457,0.062335562,0.024143185,,
1700108N11Rik,0.002469191,0.001295222,0.001869718,0.006256767,0.001295222,,
1700109G14Rik,0.004876165,0.004028209,0.010755785,0.005649774,0.004028209,,
1700109H08Rik,0.132101549,0.123475505,0.116746015,0.101136418,0.101136418,,
1700109I08Rik,0,0.000811902,0,0,0,,
1700109K24Rik,0.704360745,0.325964477,2.347980996,1.577408524,0.325964477,,
1700110C19Rik,0.003309263,0.007960694,0.009700571,0.002154394,0.002154394,,
1700110I01Rik,0.001385712,0.004757796,0,0.001600076,0,,
1700110K17Rik,0.166770084,0.059615174,0.497193678,0.339047196,0.059615174,,
