,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4
Zfp418,0.0288428790927602,0.0266571140504111,0.056065708910535,0.0356754905684768,0.00944032112196328
Zfp772,0.021869820887107,0.0123781837282979,0.0102629352049006,0.0335958007644111,0.0628430210237734
Vmn2r29,0.0120473010476342,0.0167614312814925,0.0252193456853182,0.0093264134970138,0
Clcn4,0.14768192819097,0.124152113479724,0.159109384260354,0.295825006833912,0.438354409249981
Vmn2r30,0.00268205389006864,0.00102327280504146,0,0.00509862525767177,0
Zik1,0.0395146941097602,0.0269549361519958,0.0311725577795821,0.0602462166638064,0.0257644413968125
Vmn1r81,0.0021524556449063,0.00138167061939603,0.00615725878381853,0,0
Vmn1r84,0.000789741572865112,0.0035937811322301,0.00732290152526536,0,0
Zfp551,0.0184223312523497,0.0188451546218431,0.00723999247518158,0.00955096090247251,0.0194176227607351
Zfp606,0.0734085507560838,0.0866708789796646,0.098217141829821,0.0891988103306232,0.125104560235342
2900092C05Rik,0.0268468544624553,0.0209331698218761,0.0340718353515051,0.0314808732626686,0.0977214117830382
Vmn2r53,0.00575525993563014,0.00751639915978411,0.00387903613710065,0.0132894315131348,0.0238322572550454
Vmn2r54,0.0167881272829287,0.0113319555757147,0.0177115931624175,0.0158743122363829,0.0238322572550454
Vmn2r55,0.010348975515681,0.0074081991233467,0.010231923879343,0.00582627132066703,0
Vmn2r56,0.0296648364151464,0.0139474911864985,0.00786556709519786,0.0126000477180361,0
Zscan18,0.240562370178325,0.226977876898777,0.215457421062424,0.259789800039022,0.341434138528838
Zfp329,0.601994840607034,0.639580567414867,0.777370196057042,0.681275730653133,1.2498701718023
Zfp110,0.0818412476420398,0.0838736530302947,0.104792642534431,0.206762906934163,0.197408409292395
Gm31152,0.107433625312812,0.0922413677284034,0.0796142779093472,0.112335208726074,0.311179840032079
Zfp128,0.0563345330060112,0.0623427200392732,0.062959175774959,0.113911954616737,0.174145158014242
Zscan22,0.25491261362795,0.285177759186078,0.378568216041868,0.402279901734324,0.53354250336244
Rps5,0.0577363678061365,0.0422476804274391,0.0720005960716309,0.210766769285565,0.0830411426493396
Rnf225,0.0045012388256504,0,0,0.00664766763257277,0
1810019N24Rik,0.0161164375447527,0.0164930256394711,0.0146436429085786,0.0301224605187309,0.00971223615496455
Gm29638,0,0.00349332751780267,0,0,0
Zfp324,0.0863159304111233,0.0815173193400783,0.0858052003701863,0.0684097819082225,0.195730418401829
Zfp446,0.0120745131578534,0.016647801846648,0.0238431518368089,0.0395027266824469,0.0455374370289647
Slc27a5,0.00257936421649285,0.00331728063067703,0,0,0
Trim28,0.0479431356920546,0.058593590402993,0.091885759114633,0.127380181401704,0.148376483464685
