,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6
Dst,6.08238668926896,6.45554355930275,6.90251565195957,8.28812964658191,6.72547749876614,7.1383149468184,8.93515079640579
Gm26788,0.0843137631411352,0.107071521495891,0.0363405889552239,0.0315912837864793,0.139708819157133,0.101086734456826,0.0858637726728762
Gm37233,0.0281724400748866,0.0187543724507035,0.0422585240433788,0.0211235834552721,0.0212826816107994,0.0321560113755775,0.0716968572176996
Ccdc115,0.0147525516739085,0.0171639275021559,0.0140385414111756,0.0138966244147194,0.0110843989998921,0.0229565203368713,0.0483376844678798
Gm28306,0.00289216281719796,0,0,0,0,0.0132577751069479,0
Imp4,0.0473420010452737,0.0694400303935874,0.0621993393500264,0.0581935498168197,0.0597745031297761,0.0439012364540082,0.0465266146750913
Ptpn18,0.0237137932849266,0.0229417131429763,0.0446209663408962,0.055157084752711,0.0319266715628149,0.0505883160844336,0.0116555436179868
Gm28417,0.00220045126216792,0,0.00626092712667231,0.00313901041277415,0,0,0.0064763651530106
4930568A12Rik,0.00296352334512062,0.000687224955392228,0.00280471511443684,0.00957013736283225,0.0017585101339422,0.00239016190239678,0
1700101I19Rik,0.00180189187374229,0,0.00104547284122927,0,0,0,0.00328191556222003
Amer3,0.0304026003016177,0.0181139075756951,0.0254649350841486,0.0289246502971549,0.0423851177818225,0.00696622216455697,0.0260705520115479
Arhgef4,0.2985293949795,0.291511902953657,0.190314561881886,0.211912147679104,0.328230998749483,0.393689363536506,0.179602033883653
Gm38336,0.0153094472452967,0.0312876651802639,0.00539121069924495,0.00676481658375051,0.0196649621298717,0.0155415332641896,0
Fam168b,0.441245021667183,0.45968134252458,0.329742784931537,0.36415887992449,0.450383826864874,0.490141486919562,0.388382264927178
Plekhb2,0.189158349381414,0.196937344140583,0.23976793943302,0.286463163983589,0.18496618830169,0.249616762748134,0.468889009022297
Gm37068,0,0,0,0.00392588864452413,0.00429930007394796,0,0
1110002O04Rik,0.00431872073158712,0.00181605091031836,0.00172878541113986,0,0.00309995622861805,0.00186212041140944,0.00353126048342956
Hs6st1,0.173657830205403,0.150280378203682,0.166059275559548,0.277911073870727,0.22703611901383,0.266487074461298,0.151610804499232
Gm33280,0.00907091874667212,0.0117856776011519,0.00318588402261047,0.00177158123671004,0,0,0
Uggt1,0.49130593992742,0.538933967897995,0.536081302872975,0.674680716885905,0.485113834226955,0.540387401637013,0.561394197075607
Arid5a,0.0366112378824518,0.031894348021315,0.605120498078721,0.434427630809752,0.050731370066319,0.23725447456569,0.516574009330921
4930403P22Rik,0.0243416677907705,0.0299338500811223,0.0047034826859924,0,0.00843908609106523,0.0048714782257102,0.00691550019467133
Kansl3,0.557156345292878,0.490431879230217,0.459653608081381,0.436789285731007,0.522772307503219,0.603536508781119,0.405168533006693
Fer1l5,0.000661742771055795,0.00630658590254654,0.000940881410178004,0.00901862733102284,0.00173089678454766,0,0.00760705021413847
Lman2l,0.263571102437132,0.272966231039254,0.230782457628093,0.154355997322363,0.279815918486965,0.292741467610554,0.158556177271135
Cnnm4,0.043494771207584,0.0328216894384761,0.0383004905818843,0.0495130256617959,0.028295172717846,0.060094201421473,0.0274832268866527
Cnnm3,0.114405384433619,0.101238091467806,0.0768610143628344,0.0804122241865948,0.0947134223082438,0.0950938396339088,0.0760371845740319
Gm38033,0.00901229823443029,0.00812587079507349,0.00206832908123402,0.000961042046358362,0.00368830104264498,0.0262951499760044,0
Ankrd23,0.0117476687568069,0.00640042101843534,0.0190953897000048,0.0186345648310174,0.00901764359197501,0.0394353627301757,0.0126841931745931
Ankrd39,0.0445742776873493,0.0423975581092682,0.0183567213279726,0.0297078633332208,0.0266913707136272,0.0671989670796031,0.0329422085462402
Sema4c,0.00646992503736122,0.00910391530096856,0.00395341252304095,0.00850152945018076,0.00176108550492787,0.0128290326139667,0
D430040D24Rik,0,0.00246989108263047,0.00167237727761061,0,0,0,0
Fam178b,0.000732385684847995,0.00084877077621106,0.00180432575186133,0.00284994660613564,0,0.00642299122555169,0.00614403082828908
Cox5b,0.0878361475073384,0.0757130884417308,0.0488572491011729,0.0619747303181535,0.0561727106529693,0.113329893967915,0.0438853297779078
Actr1b,0.475360661511832,0.50619740256445,0.967330774424785,1.00661367214423,0.396802378020336,0.682025300334905,0.964082200524223
4933424G06Rik,0.0546882758476457,0.0820519902772345,0.0432913573243049,0.0443832957281564,0.0296573154518238,0.0779903319392068,0.0140202974874704
